,start,stop,name,tier
0,4.0,4.58,﻿silla,words
1,6.07,6.61,luna,words
2,8.2,8.86,puerta,words
3,10.53,11.02,cama,words
4,12.8,13.46,leche,words
5,14.83,15.4,ojo,words
6,16.79,17.45,mesa,words
7,18.73,19.31,huevo,words
8,20.98,21.49,perro,words
9,22.97,23.46,uva,words
10,24.9,25.52,libro,words
11,26.71,27.26,mano,words
